,Sales_ID,name,year,selling_price,km_driven,Region,State or Province,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,sold
739,765,Mahindra,2011,250000,120000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,13.0,2489,95.0,220Nm at 1400-2600 rpm,8,Y
1002,1033,Hyundai,2011,400000,60000,Central,Illinois,Hoffman Estates,Petrol,Individual,Manual,First_Owner,16.2,1599,103.2,14.9 KGM at 3000 RPM,5,Y
1001,1032,Volkswagen,2011,388000,80000,Central,Illinois,Hoffman Estates,Diesel,Individual,Manual,Second_Owner,22.07,1199,73.9,180Nm@ 2000rpm,5,Y
732,758,Hyundai,2011,180000,80000,East,Pennsylvania,Philadelphia,Petrol,Individual,Manual,Second_Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5,Y
731,756,Mahindra,2011,441000,70000,West,California,Los Angeles,Diesel,Individual,Manual,Second_Owner,10.5,2609,120.0,290Nm@ 1800-2800rpm,7,Y
997,1028,Chevrolet,2011,272000,170000,Central,Illinois,Highland Park,Diesel,Individual,Manual,Fourth_Above_Owner,16.52,1991,123.7,305Nm@ 2000rpm,5,Y
993,1024,Ford,2011,300000,110000,Central,Illinois,Chicago,Diesel,Individual,Manual,Third_Owner,17.8,1399,68.0,"16.3@ 2,000(kgm@ rpm)",5,Y
771,799,Maruti,2011,350000,137500,West,California,Los Angeles,Diesel,Individual,Manual,Third_Owner,19.3,1248,73.9,190Nm@ 2000rpm,5,Y
824,852,Mahindra,2011,400000,110000,East,Massachusetts,Boston,Diesel,Individual,Manual,Second_Owner,12.05,2179,120.0,290Nm@ 1800-2800rpm,8,Y
1498,1547,Maruti,2011,229999,18500,East,Maryland,Cumberland,Petrol,Individual,Manual,First_Owner,18.5,1197,85.8,114Nm@ 4000rpm,5,Y
1452,1499,Mahindra,2011,590000,80000,Central,Iowa,Urbandale,Diesel,Individual,Manual,Third_Owner,15.1,2179,140.0,330Nm@ 1600-2800rpm,7,Y
909,938,Tata,2011,130000,90000,East,New York,New York City,Diesel,Individual,Manual,Second_Owner,25.0,1396,69.0,140Nm@ 1800-3000rpm,5,Y
551,569,Hyundai,2011,220000,120000,Central,Illinois,Chicago,Diesel,Individual,Manual,Second_Owner,23.0,1396,90.0,22.4 kgm at 1750-2750rpm,5,Y
907,936,Maruti,2011,250000,85000,Central,Texas,Houston,Diesel,Individual,Manual,Second_Owner,21.5,1248,88.8,200Nm@ 1750rpm,5,Y
1465,1514,Toyota,2011,900000,110000,Central,Michigan,Ann Arbor,Diesel,Individual,Manual,First_Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),8,Y
822,850,Tata,2011,130000,54000,Central,Texas,Dallas,Diesel,Individual,Manual,Second_Owner,18.4,1248,75.0,190 Nm at 1750 rpm ,5,Y
8,9,Toyota,2011,350000,90000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,23.59,1364,67.1,170Nm@ 1800-2400rpm,5,Y
1554,1603,Mahindra,2011,450000,56000,East,Ohio,Mount Vernon,Diesel,Individual,Manual,First_Owner,13.0,2489,95.0,220Nm at 1400-2600 rpm,8,Y
1557,1606,Tata,2011,300000,80000,Central,Oklahoma,Bartlesville,Diesel,Individual,Manual,First_Owner,13.93,2179,138.0,320Nm@ 1700-2700rpm,7,Y
877,906,Hyundai,2011,315000,80000,South,Florida,Miami,Petrol,Individual,Manual,First_Owner,17.0,1197,80.0,"11.4 kgm at 4,000 rpm",5,Y
155,162,Maruti,2011,175000,11000,South,North Carolina,Charlotte,Petrol,Dealer,Manual,First_Owner,23.95,998,67.05,90Nm@ 3500rpm,5,Y
874,903,Ford,2011,190000,90000,South,Florida,Miami,Diesel,Individual,Manual,Second_Owner,20.0,1399,68.0,160Nm@ 2000rpm,5,Y
500,515,Tata,2011,110000,50000,Central,Texas,Dallas,Diesel,Individual,Manual,First_Owner,17.2,1396,53.5,"8.5@ 2,500(kgm@ rpm)",5,Y
498,513,Maruti,2011,165000,90000,West,Washington,Seattle,Petrol,Individual,Manual,First_Owner,20.92,998,67.1,90Nm@ 3500rpm,5,Y
147,154,Volkswagen,2011,375000,49000,East,District of Columbia,Washington,Petrol,Individual,Manual,First_Owner,15.04,1598,103.6,153Nm@ 3800rpm,5,Y
514,530,Maruti,2011,210000,46000,Central,Texas,Houston,Petrol,Individual,Manual,First_Owner,20.92,998,67.1,90Nm@ 3500rpm,5,Y
1532,1581,Maruti,2011,220000,40000,West,Utah,Provo,Petrol,Individual,Manual,First_Owner,18.9,998,67.1,90Nm@ 3500rpm,5,Y
1537,1586,Nissan,2011,200000,43500,West,Utah,Provo,Petrol,Individual,Manual,Second_Owner,18.06,1198,75.0,104Nm@ 4000rpm,5,Y
585,605,Tata,2011,175000,20000,South,North Carolina,Charlotte,Diesel,Individual,Manual,First_Owner,12.2,1948,68.0,"115@ 2,500(kgm@ rpm)",10,Y
1407,1454,Tata,2011,225000,35000,Central,Kansas,Kansas City,Petrol,Individual,Manual,First_Owner,15.0,1368,90.0,116Nm@ 4750rpm,5,Y
1368,1412,Audi,2011,1300000,120000,Central,Texas,Cedar Hill,Diesel,Individual,Automatic,First_Owner,12.8,1968,167.6,350Nm@ 1750-2500rpm,5,Y
587,607,Hyundai,2011,200000,80000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,19.81,1086,68.05,99.04Nm@ 4500rpm,5,Y
1396,1441,BMW,2011,1075000,42545,East,New York,Ithaca,Diesel,Dealer,Automatic,First_Owner,19.62,1998,190.0,400nm@ 1750-2500rpm,5,Y
1360,1404,Nissan,2011,350000,47000,Central,Texas,Cedar Park,Petrol,Individual,Manual,Second_Owner,16.95,1498,97.7,134Nm@ 4000rpm,5,Y
607,627,Maruti,2011,300000,70000,East,New York,New York City,Diesel,Individual,Manual,Second_Owner,22.9,1248,74.0,190Nm@ 2000rpm,5,Y
835,864,Hyundai,2011,300000,80000,Central,Texas,Houston,Diesel,Individual,Manual,First_Owner,22.32,1582,126.32,259.8Nm@ 1900-2750rpm,5,Y
1362,1406,Tata,2011,125000,85000,Central,Texas,Burleson,Diesel,Individual,Manual,Second_Owner,18.0,1248,75.0,190 Nm at 1750  rpm ,5,Y
929,958,Maruti,2011,150000,80000,West,California,Los Angeles,Petrol,Individual,Manual,Third_Owner,15.37,1196,73.0,101Nm@ 3000rpm,5,Y
1384,1428,Toyota,2011,300000,120000,South,Florida,Hollywood,Petrol,Individual,Manual,Third_Owner,17.6,1496,88.7,132Nm@ 3000rpm,5,Y
1361,1405,Ford,2011,170000,80000,Central,Texas,Burleson,Diesel,Individual,Manual,Third_Owner,17.8,1399,68.0,"16.3@ 2,000(kgm@ rpm)",5,Y
590,610,Mahindra,2011,409999,50000,South,North Carolina,Charlotte,Diesel,Individual,Manual,Second_Owner,13.6,2523,63.0,180 Nm at 1440-1500rpm,7,Y
584,604,Tata,2011,337000,142000,West,California,Los Angeles,Diesel,Individual,Manual,Third_Owner,13.7,2179,138.1,320Nm@ 1700-2700rpm,7,Y
624,644,Maruti,2011,270000,40000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,18.9,998,67.1,90Nm@ 3500rpm,5,Y
1443,1490,Mahindra,2011,450000,90000,Central,Illinois,Tinley Park,Diesel,Individual,Manual,Third_Owner,12.05,2179,120.0,290Nm@ 1800-2800rpm,8,Y
598,618,Maruti,2011,196000,110000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,18.9,998,67.1,90Nm@ 3500rpm,5,Y
829,857,Tata,2011,150000,150000,Central,Illinois,Chicago,Petrol,Individual,Manual,First_Owner,12.8,1396,85.0,"12@ 3,500(kgm@ rpm)",5,Y
840,869,Hyundai,2011,160000,57000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5,Y
578,598,Hyundai,2011,400000,221889,East,New York,New York City,Diesel,Dealer,Manual,First_Owner,22.32,1582,126.32,259.8Nm@ 1900-2750rpm,5,Y
1416,1463,Maruti,2011,250000,60000,Central,Kansas,Lawrence,Diesel,Individual,Manual,Second_Owner,21.1,1248,73.9,113Nm@ 4500rpm,5,Y
1364,1408,Nissan,2011,250000,110000,Central,Texas,Cedar Park,Petrol,Individual,Manual,First_Owner,16.95,1498,97.7,134Nm@ 4000rpm,5,Y
921,950,Ford,2011,175000,90400,Central,Texas,Dallas,Diesel,Individual,Manual,First_Owner,20.0,1399,68.0,160Nm@ 2000rpm,5,Y
19,21,Mahindra,2011,174000,100000,East,New York,New York City,Diesel,Individual,Manual,Second_Owner,21.0,1461,64.1,160Nm@ 2000rpm,5,Y
1427,1474,Ford,2011,302000,103000,West,California,Davis,Diesel,Individual,Manual,Third_Owner,20.0,1399,68.0,160Nm@ 2000rpm,5,Y
234,244,Mahindra,2012,535000,120000,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,First_Owner,15.1,2179,140.0,330Nm@ 1600-2800rpm,7,Y
16,18,Hyundai,2012,500000,53000,Central,Texas,Dallas,Diesel,Individual,Manual,Second_Owner,23.0,1396,90.0,22.4 kgm at 1750-2750rpm,5,Y
30,33,Maruti,2012,150000,35000,Central,Illinois,Chicago,Petrol,Individual,Manual,Second_Owner,14.0,796,35.0,6.1kgm@ 3000rpm,5,Y
22,24,Maruti,2012,600000,72000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,21.5,1248,88.8,200Nm@ 1750rpm,5,Y
38,41,Maruti,2012,150000,76000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
118,124,Maruti,2012,370000,175000,South,North Carolina,Charlotte,Diesel,Individual,Manual,Fourth_Above_Owner,19.3,1248,73.9,190Nm@ 2000rpm,5,Y
156,163,Maruti,2012,340000,24300,West,Washington,Seattle,Petrol,Dealer,Manual,First_Owner,21.21,1197,81.8,113Nm@ 4200rpm,5,Y
148,155,Hyundai,2012,550000,95000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,16.3,1797,147.5,177.5Nm@ 4700rpm,5,Y
218,227,Hyundai,2012,275000,93000,West,Washington,Seattle,Petrol,Individual,Manual,Second_Owner,17.0,1197,80.0,"11.4 kgm at 4,000 rpm",5,Y
209,218,Honda,2012,265000,60000,East,Massachusetts,Boston,Petrol,Individual,Manual,First_Owner,19.4,1198,86.8,109Nm@ 4500rpm,5,Y
208,217,Toyota,2012,550000,100000,Central,Michigan,Detroit,Petrol,Individual,Automatic,First_Owner,14.53,1794,138.1,173Nm@ 4000rpm,5,Y
89,94,Volkswagen,2012,535000,12000,East,Pennsylvania,Philadelphia,Petrol,Dealer,Manual,Second_Owner,15.04,1598,103.6,153Nm@ 3800rpm,5,Y
84,89,Hyundai,2012,290000,28000,South,Florida,Miami,Petrol,Dealer,Manual,First_Owner,19.81,1086,68.05,99.04Nm@ 4500rpm,5,Y
75,78,Maruti,2012,450000,120000,South,Florida,Miami,Petrol,Individual,Manual,Second_Owner,16.02,1373,93.7,130Nm@ 4000rpm,7,Y
1252,1291,Renault,2012,300000,100000,West,Oregon,West Linn,Diesel,Individual,Manual,Third_Owner,23.08,1461,63.12,160Nm@ 2000rpm,5,Y
1253,1292,Tata,2012,150000,110000,West,Oregon,West Linn,Diesel,Individual,Manual,First_Owner,22.3,1248,74.0,190Nm@ 1750-3000rpm,5,Y
655,675,Tata,2012,135000,120000,Central,Illinois,Chicago,Diesel,Individual,Manual,Second_Owner,19.0,1405,71.0,135 Nm at 2500 rpm,5,Y
663,683,Toyota,2012,1225000,160000,South,North Carolina,Charlotte,Diesel,Individual,Automatic,First_Owner,11.5,2982,169.0,343Nm@ 1400-3400rpm,7,Y
1273,1312,Ford,2012,200000,104500,West,California,Long Beach,Diesel,Individual,Manual,Second_Owner,20.0,1399,68.0,160Nm@ 2000rpm,5,Y
651,671,Maruti,2012,215000,90000,South,Florida,Miami,Petrol,Individual,Manual,Third_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
647,667,Maruti,2012,235000,98500,East,New York,New York City,Petrol,Individual,Manual,Second_Owner,19.0,998,66.1,90Nm@ 3500rpm,5,Y
1275,1314,Renault,2012,400000,120000,West,California,Manhattan Beach,Diesel,Individual,Manual,Third_Owner,19.01,1461,108.45,248Nm@ 2250rpm,5,Y
1300,1342,Chevrolet,2012,170000,90000,South,Florida,Miramar,Diesel,Individual,Manual,First_Owner,25.44,936,57.6,150Nm@ 1750rpm,5,Y
1236,1275,Tata,2012,300000,40000,Central,Michigan,Canton,Diesel,Individual,Manual,First_Owner,23.57,1396,70.0,140Nm@ 1800-3000rpm,5,Y
1223,1262,Toyota,2012,730000,210000,South,South Carolina,Taylors,Diesel,Individual,Manual,First_Owner,12.99,2494,100.0,200Nm@ 1400-3400rpm,7,Y
713,735,Mahindra,2012,340000,110000,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,Second_Owner,15.96,2523,63.0,180Nm@ 1440-1500rpm,9,Y
1171,1207,Mahindra,2012,450000,165000,East,Maine,Lewiston,Diesel,Individual,Manual,First_Owner,15.96,2523,62.1,195Nm@ 1400-2200rpm,7,Y
703,724,Tata,2012,168000,190000,East,Massachusetts,Boston,Diesel,Individual,Manual,Second_Owner,19.09,1396,69.0,135Nm@ 2500rpm,5,Y
702,723,Mahindra,2012,400000,120000,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,First_Owner,15.96,2523,62.1,195Nm@ 1400-2200rpm,7,Y
699,720,Hyundai,2012,335000,135000,Central,Texas,Dallas,Diesel,Individual,Manual,First_Owner,21.9,1396,88.76,219.6Nm@ 1750-2750rpm,5,Y
1194,1233,Chevrolet,2012,130000,110000,East,New York,Utica,Petrol,Individual,Manual,First_Owner,16.2,995,62.1,90.3Nm@ 4200rpm,5,Y
682,703,Maruti,2012,225000,80000,South,Florida,Miami,Petrol,Individual,Manual,Second_Owner,18.9,998,67.1,90Nm@ 3500rpm,5,Y
1216,1255,Maruti,2012,225000,80000,South,Florida,Titusville,Petrol,Individual,Manual,First_Owner,18.9,998,67.1,90Nm@ 3500rpm,5,Y
1217,1256,Mercedes,2012,1400000,50000,West,Oregon,Troutdale,Diesel,Individual,Automatic,First_Owner,14.84,2143,170.0,400Nm@ 1400-2800rpm,5,Y
1188,1227,Mahindra,2012,180000,110000,Central,Wisconsin,Fitchburg,Petrol,Individual,Manual,Second_Owner,13.87,1390,75.0,110Nm@ 3000rpm,5,Y
1305,1347,Renault,2012,350000,105000,West,California,Lemon Grove,Diesel,Individual,Manual,Second_Owner,19.01,1461,108.45,248Nm@ 2250rpm,5,Y
1307,1350,Renault,2012,375000,100000,East,New Jersey,Maple Shade,Diesel,Individual,Manual,Second_Owner,19.01,1461,108.45,248Nm@ 2250rpm,5,Y
1391,1436,Maruti,2012,250000,90000,East,Maine,Auburn,Petrol,Individual,Manual,First_Owner,20.92,998,67.1,90Nm@ 3500rpm,5,Y
573,593,Hyundai,2012,270000,43755,West,California,Los Angeles,Petrol,Dealer,Manual,Second_Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5,Y
572,592,Toyota,2012,375000,31711,East,New York,New York City,Petrol,Dealer,Manual,Second_Owner,17.6,1496,88.7,132Nm@ 3000rpm,5,Y
565,585,Mahindra,2012,500000,76000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,15.96,2523,62.1,195Nm@ 1400-2200rpm,7,Y
563,583,Hyundai,2012,210000,76000,West,California,San Francisco,Petrol,Individual,Manual,Fourth_Above_Owner,20.36,1197,78.9,111.7Nm@ 4000rpm,5,Y
1436,1483,Maruti,2012,430000,110000,East,New York,Deer Park,Diesel,Individual,Manual,Second_Owner,19.3,1248,73.9,190Nm@ 2000rpm,5,Y
559,579,Renault,2012,480000,55735,West,California,Los Angeles,Diesel,Individual,Manual,Second_Owner,19.01,1461,108.45,248Nm@ 2250rpm,5,Y
1319,1362,Maruti,2012,450000,98000,Central,Minnesota,Brooklyn Center,Diesel,Individual,Manual,Fourth_Above_Owner,20.77,1248,88.8,200Nm@ 1750rpm,7,Y
626,646,Maruti,2012,275000,20000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,18.9,998,67.1,90Nm@ 3500rpm,5,Y
1342,1385,Hyundai,2012,270000,56000,South,Georgia,Columbus,Petrol,Individual,Manual,First_Owner,20.36,1197,78.9,111.7Nm@ 4000rpm,5,Y
1363,1407,Maruti,2012,400000,100000,Central,Texas,Cedar Hill,Diesel,Individual,Manual,First_Owner,19.3,1248,73.9,190Nm@ 2000rpm,5,Y
1372,1416,Volkswagen,2012,229999,70000,Central,Texas,Carrollton,Diesel,Individual,Manual,Fourth_Above_Owner,22.07,1199,73.9,180Nm@ 2000rpm,5,Y
1374,1418,Hyundai,2012,395000,120000,South,Florida,Hollywood,Diesel,Individual,Manual,First_Owner,22.32,1582,126.32,259.8Nm@ 1900-2750rpm,5,Y
596,616,Ford,2012,300000,70000,West,California,Los Angeles,Diesel,Individual,Manual,Second_Owner,20.0,1399,68.0,160Nm@ 2000rpm,5,Y
1379,1423,Maruti,2012,400000,90000,South,Florida,Jacksonville,Diesel,Individual,Manual,Second_Owner,22.9,1248,74.0,190Nm@ 2000rpm,5,Y
1380,1424,Maruti,2012,191000,90000,South,Florida,Homestead,Petrol,Individual,Manual,First_Owner,19.0,998,67.1,90Nm@ 3500rpm,5,Y
1462,1510,Maruti,2012,185000,60000,Central,Michigan,Bay City,Petrol,Individual,Manual,Second_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
1154,1189,Ford,2012,280000,60000,South,Tennessee,Collierville,Diesel,Individual,Manual,First_Owner,20.0,1399,68.0,160Nm@ 2000rpm,5,Y
936,965,Toyota,2012,1100000,151000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),8,Y
940,969,Volkswagen,2012,350000,40000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,20.54,1598,103.6,250Nm@ 1500-2500rpm,5,Y
941,970,Maruti,2012,300000,70000,West,Washington,Seattle,Diesel,Individual,Manual,First_Owner,23.2,1248,73.94,190Nm@ 2000rpm,5,Y
968,998,Tata,2012,325000,120000,East,Massachusetts,Boston,Diesel,Individual,Manual,First_Owner,13.93,2179,138.03,320Nm@ 1700-2700rpm,7,Y
969,999,Maruti,2012,220000,360003,West,California,Los Angeles,Petrol,Individual,Manual,Second_Owner,18.9,998,67.1,90Nm@ 3500rpm,5,Y
979,1009,Ford,2012,350000,79990,West,Washington,Seattle,Diesel,Dealer,Manual,Second_Owner,17.8,1399,67.0,160Nm@ 2000rpm,5,Y
980,1010,Ford,2012,425000,81632,West,Washington,Seattle,Diesel,Dealer,Manual,First_Owner,20.0,1399,68.0,160Nm@ 2000rpm,5,Y
983,1013,Ford,2012,450000,90165,East,New York,New York City,Diesel,Dealer,Manual,First_Owner,17.8,1399,67.0,160Nm@ 2000rpm,5,Y
814,842,Maruti,2012,275000,70000,East,New York,New York City,Petrol,Individual,Manual,Second_Owner,18.5,1197,85.8,114Nm@ 4000rpm,5,Y
803,831,Maruti,2012,345000,50000,East,New York,New York City,Petrol,Individual,Manual,Second_Owner,18.6,1197,85.8,114Nm@ 4000rpm,5,Y
928,957,Maruti,2012,425000,96000,West,California,Los Angeles,Diesel,Individual,Manual,Second_Owner,20.77,1248,88.8,200Nm@ 1750rpm,7,Y
867,896,Tata,2012,204999,120000,East,District of Columbia,Washington,Diesel,Individual,Manual,Second_Owner,19.09,1396,69.0,135Nm@ 2500rpm,5,Y
859,888,Tata,2012,204999,120000,East,New York,New York City,Diesel,Individual,Manual,Second_Owner,19.09,1396,69.0,135Nm@ 2500rpm,5,Y
884,913,Tata,2012,130000,60000,South,Georgia,Atlanta,Diesel,Individual,Manual,First_Owner,22.3,1248,74.0,190Nm@ 1750-3000rpm,5,Y
854,883,Chevrolet,2012,200000,70000,West,California,Los Angeles,Diesel,Individual,Manual,Second_Owner,25.44,936,57.6,150Nm@ 1750rpm,5,Y
891,920,Hyundai,2012,320000,107825,East,New York,New York City,Diesel,Individual,Manual,Second_Owner,21.9,1396,90.0,22.4 kgm at 1750-2750rpm,5,Y
851,880,Ford,2012,300000,64000,West,Washington,Seattle,Diesel,Individual,Manual,Second_Owner,17.8,1399,67.0,160Nm@ 2000rpm,5,Y
902,931,Maruti,2012,400000,100000,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,Third_Owner,20.77,1248,88.76,200Nm@ 1750rpm,7,Y
905,934,Chevrolet,2012,150000,110000,East,Massachusetts,Boston,Diesel,Individual,Manual,First_Owner,25.44,936,57.6,150Nm@ 1750rpm,5,Y
911,940,Hyundai,2012,450000,120000,West,California,Los Angeles,Diesel,Individual,Manual,Second_Owner,22.32,1582,126.32,259.8Nm@ 1900-2750rpm,5,Y
842,871,Maruti,2012,231000,70000,West,California,Los Angeles,LPG,Individual,Manual,First_Owner,26.2,998,58.2,77Nm@ 3500rpm,5,Y
838,867,Maruti,2012,165000,60000,South,Georgia,Atlanta,CNG,Individual,Manual,Second_Owner,30.46,796,47.3,69Nm@ 3500rpm,5,Y
917,946,Maruti,2012,415000,108000,East,Massachusetts,Boston,Diesel,Individual,Manual,First_Owner,19.3,1248,73.9,190Nm@ 2000rpm,5,Y
918,947,Maruti,2012,415000,108000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,23.4,1248,74.0,190Nm@ 2000rpm,5,Y
798,826,Maruti,2012,280000,156060,Central,Texas,Houston,Diesel,Individual,Manual,First_Owner,23.2,1248,73.94,190Nm@ 2000rpm,5,Y
745,771,Mahindra,2012,350000,120000,West,Washington,Seattle,Diesel,Individual,Manual,Fourth_Above_Owner,14.0,2498,112.0,260 Nm at 1800-2200 rpm,8,Y
744,770,Hyundai,2012,321000,100000,West,Washington,Seattle,Diesel,Individual,Manual,Second_Owner,23.0,1396,90.0,22.4 kgm at 1750-2750rpm,5,Y
743,769,Maruti,2012,420000,120000,Central,Michigan,Detroit,Diesel,Individual,Manual,Second_Owner,19.3,1248,73.9,190Nm@ 2000rpm,5,Y
727,752,Mahindra,2012,540000,90000,Central,Texas,Houston,Diesel,Individual,Manual,Third_Owner,12.05,2179,120.0,290Nm@ 1800-2800rpm,8,Y
1136,1168,Mahindra,2012,350000,25000,Central,Oklahoma,Norman,Diesel,Individual,Manual,First_Owner,21.03,1461,65.0,160Nm@ 2000rpm,5,Y
1143,1175,Mahindra,2012,254999,70000,Central,Oklahoma,Norman,Diesel,Individual,Manual,Second_Owner,20.8,1461,65.0,160Nm@ 2000rpm,5,Y
750,778,Tata,2012,250000,40000,Central,Texas,Houston,Diesel,Individual,Manual,First_Owner,22.3,1248,74.0,190Nm@ 1750-3000rpm,5,Y
794,822,Hyundai,2012,244000,38000,West,Washington,Seattle,Petrol,Individual,Manual,First_Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5,Y
764,792,Maruti,2012,100000,51000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
1152,1187,Mahindra,2012,260000,70000,Central,Oklahoma,Muskogee,Diesel,Individual,Manual,Second_Owner,21.03,1461,65.0,160Nm@ 2000rpm,5,Y
1464,1512,Maruti,2012,300000,100000,Central,Michigan,Allen Park,LPG,Individual,Manual,Second_Owner,26.2,998,58.2,77Nm@ 3500rpm,5,Y
1467,1516,Mahindra,2012,550000,180000,Central,Michigan,Ann Arbor,Diesel,Individual,Manual,Third_Owner,15.96,2523,62.1,195Nm@ 1440-2200rpm,9,Y
1859,1914,Mahindra,2012,450000,100000,Central,Illinois,Rockford,Diesel,Individual,Manual,First_Owner,14.0,2523,75.0,200Nm@ 1400-2200rpm,8,Y
341,355,Nissan,2012,450000,9000,West,California,Los Angeles,Petrol,Dealer,Manual,First_Owner,16.95,1498,97.7,134Nm@ 4000rpm,5,Y
339,353,Honda,2012,325000,40000,East,New York,New York City,Petrol,Dealer,Manual,First_Owner,18.5,1198,86.8,109Nm@ 4500rpm,5,Y
1873,1929,Nissan,2012,295000,70000,South,Florida,Ocoee,Diesel,Individual,Manual,Second_Owner,21.64,1461,84.8,200Nm@ 2000rpm,5,Y
1879,1936,Ford,2012,250000,40000,East,New York,White Plains,Diesel,Individual,Manual,First_Owner,20.0,1399,68.0,160Nm@ 2000rpm,5,Y
345,359,Mahindra,2012,680000,93000,Central,Texas,Dallas,Diesel,Dealer,Manual,First_Owner,15.1,2179,140.0,330Nm@ 1600-2800rpm,7,Y
1885,1942,Nissan,2012,320000,70000,East,New York,Yonkers,Petrol,Individual,Manual,Second_Owner,16.95,1498,97.7,134Nm@ 4000rpm,5,Y
1888,1945,Mahindra,2012,200000,80000,East,New York,Yonkers,Diesel,Individual,Manual,Second_Owner,20.8,1461,65.0,160Nm@ 2000rpm,5,Y
1893,1950,Mahindra,2012,600000,75000,Central,Wisconsin,Sun Prairie,Diesel,Individual,Manual,First_Owner,15.96,2523,62.1,195Nm@ 1400-2200rpm,7,Y
1899,1956,Maruti,2012,225000,40000,Central,Wisconsin,Sun Prairie,Petrol,Individual,Manual,First_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
1881,1938,Mahindra,2012,250000,117000,East,New York,Yonkers,Diesel,Individual,Manual,First_Owner,14.0,2498,112.0,260 Nm at 1800-2200 rpm,8,Y
1850,1905,Ford,2012,256000,90000,Central,Texas,Lancaster,Petrol,Individual,Manual,Second_Owner,15.3,1596,99.6,146Nm@ 3400rpm,5,Y
350,364,Tata,2012,64000,18000,Central,Illinois,Chicago,Petrol,Dealer,Manual,First_Owner,25.4,624,37.5,51Nm@ 4000rpm,4,Y
1779,1834,Tata,2012,259000,35000,Central,Texas,Brownsville,Diesel,Individual,Manual,First_Owner,23.03,1396,69.0,140Nm@ 1800-3000rpm,5,Y
1786,1841,Tata,2012,220000,90000,Central,Texas,Pasadena,Diesel,Individual,Manual,First_Owner,23.03,1396,69.0,140Nm@ 1800-3000rpm,5,Y
1787,1842,Tata,2012,246000,35000,Central,Texas,Pearland,Diesel,Individual,Manual,Second_Owner,23.03,1396,69.0,140Nm@ 1800-3000rpm,5,Y
1790,1845,Tata,2012,290000,60000,Central,Iowa,Coralville,Diesel,Individual,Manual,First_Owner,21.02,1248,88.76,200Nm@ 1750-3000rpm,5,Y
387,402,Tata,2012,95000,265000,East,New York,New York City,Diesel,Individual,Manual,Second_Owner,17.0,1405,70.0,"13.5@ 2,500(kgm@ rpm)",5,Y
381,396,Maruti,2012,300000,100000,West,Washington,Seattle,Diesel,Individual,Manual,Second_Owner,21.5,1248,88.8,200Nm@ 1750rpm,5,Y
1915,1975,Honda,2012,540000,100000,East,New York,Oceanside,Petrol,Individual,Manual,Second_Owner,16.8,1497,116.3,146Nm@ 4800rpm,5,Y
313,326,Maruti,2012,420000,120000,East,New York,New York City,Petrol,Individual,Automatic,First_Owner,17.4,1197,85.8,114Nm@ 4000rpm,5,Y
1993,2055,Hyundai,2012,400000,138000,Central,Illinois,Joliet,Diesel,Individual,Manual,First_Owner,22.32,1582,126.32,259.8Nm@ 1900-2750rpm,5,Y
262,273,Maruti,2012,320000,193000,Central,Michigan,Detroit,Diesel,Individual,Manual,First_Owner,19.3,1248,73.9,190Nm@ 2000rpm,5,Y
253,264,Maruti,2012,340000,110000,Central,Michigan,Detroit,Diesel,Individual,Manual,First_Owner,19.3,1248,73.9,190Nm@ 2000rpm,5,Y
251,262,Maruti,2012,310000,120000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,19.3,1248,73.9,190Nm@ 2000rpm,5,Y
250,261,Maruti,2012,360000,158000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,23.4,1248,74.0,190Nm@ 2000rpm,5,Y
